Día,SP500,NVIDIA,Euro,Petroleo,Portafolio
133,7877.48,327.08,20.6442,3125.41,104651
134,7876.81,327.376,20.6523,3116.13,104606
135,7874.98,327.602,20.682,3123.09,104713
136,7883.02,327.782,20.696,3137.92,104896
137,7879.02,328.838,20.7021,3133.42,104941
138,7884.39,329.8,20.7195,3131.81,105046
139,7888.04,329.056,20.7227,3128.7,104974
140,7887.52,329.572,20.7213,3136.19,105076
141,7879.16,329.931,20.7317,3135.34,105085
142,7880.88,330.976,20.7452,3141.81,105248
143,7879.01,330.392,20.7495,3133.57,105130
144,7875.86,330.845,20.7444,3136.28,105173
145,7881.44,331.241,20.7313,3127.98,105139
146,7879.35,332.467,20.7332,3131.27,105265
147,7889.39,332.18,20.7259,3125.64,105218
148,7890.49,334.09,20.7321,3126.75,105397
149,7902.63,333.859,20.713,3126.09,105389
150,7902.49,334.066,20.7228,3120.55,105372
151,7896.92,334.969,20.7111,3133.66,105523
152,7893.37,334.548,20.709,3124.36,105397
153,7892.66,334.365,20.7178,3126.51,105408
154,7902.45,334.247,20.7109,3118.21,105353
155,7897.91,335.708,20.7127,3121.62,105490
156,7904.74,334.348,20.7012,3119.23,105365
157,7911.47,334.547,20.708,3127.04,105477
158,7918.51,334.517,20.7015,3134.31,105550
159,7917.81,334.421,20.7173,3130.11,105525
160,7913.82,334.615,20.714,3137.78,105588
161,7917.45,334.228,20.7235,3129.89,105513
162,7912.31,334.426,20.73,3129.26,105515
163,7915.72,335.41,20.7365,3135.86,105672
164,7922.35,336.174,20.7599,3132.8,105760
165,7915.16,336.677,20.7626,3130.32,105761
166,7922.73,337.141,20.773,3138.1,105903
167,7930.57,337.376,20.7829,3136.59,105948
168,7925.64,337.22,20.7806,3132.94,105885
169,7922.91,338.619,20.792,3134.7,106021
170,7930.94,339.003,20.7899,3138.25,106107
171,7931.64,339.873,20.8025,3144.29,106248
172,7939.09,340.86,20.7934,3141.16,106317
173,7937.44,339.656,20.81,3144.14,106257
174,7936.06,339.764,20.804,3157.54,106365
175,7929.02,340.016,20.8012,3160.22,106382
176,7939.74,340.907,20.7996,3160.47,106492
177,7946.37,340.454,20.787,3167.86,106522
178,7947.94,339.669,20.7918,3166.74,106458
179,7951.1,338.891,20.7962,3176.3,106489
180,7948.56,339.243,20.7949,3175.74,106503
181,7957.09,338.889,20.7838,3173.73,106472
182,7957.55,339.102,20.8045,3169.17,106478
183,7963.52,338.885,20.8122,3170.57,106501
184,7971.72,339.472,20.823,3168.26,106571
185,7973.77,339.222,20.8302,3167.9,106563
186,7978.55,338.116,20.8442,3170.35,106524
187,7985.01,337.927,20.8456,3180.89,106619
188,7994.77,338.112,20.8468,3182.25,106679
189,7991.09,337.824,20.8517,3183.33,106658
190,7995.57,338.122,20.8492,3181.52,106680
191,7997.14,338.016,20.8588,3190.35,106762
192,8002.85,339.119,20.8592,3206.81,107010
193,8001.51,340.154,20.8754,3223.1,107247
194,8004.37,340.705,20.873,3221.09,107283
195,8006.72,340.35,20.8747,3239.98,107421
196,8004.94,340.942,20.8685,3242.18,107475
197,8005.54,339.994,20.8717,3239.9,107383
198,8011.77,341.312,20.8754,3239.62,107515
199,8014.53,340.563,20.8811,3237.46,107451
200,8014.17,340.719,20.8882,3238.44,107480
201,8015.99,341.001,20.8733,3243.76,107535
202,8014.72,341.203,20.8698,3252.04,107613
203,8015.49,341.449,20.8878,3261.89,107740
204,8017.76,340.694,20.8922,3260.46,107678
205,8022.69,340.429,20.8968,3268.49,107745
206,8029.45,340.154,20.8896,3269.08,107740
207,8028.87,340.926,20.9052,3282.08,107930
208,8037.65,341.922,20.9366,3281.06,108072
209,8038.24,342.106,20.9385,3277.37,108061
210,8031.19,342.779,20.9415,3278.93,108111
211,8042.7,342.54,20.9624,3283.5,108192
212,8042.07,343.011,20.9533,3280.6,108194
213,8043.31,343.413,20.9608,3279.99,108236
214,8045.4,343.825,20.9626,3279.1,108272
215,8050.29,343.815,20.9611,3277.57,108272
216,8052.98,344.783,20.9346,3275.68,108314
217,8051.31,344.896,20.923,3274.12,108290
218,8053.69,344.995,20.9261,3270.64,108281
219,8052.12,345.004,20.9337,3267.76,108262
220,8057.52,345.69,20.9254,3272.78,108369
221,8060.32,344.958,20.9381,3271.81,108324
222,8052.97,344.332,20.9064,3270.65,108199
223,8061.44,345.154,20.9053,3281.51,108385
224,8059.02,345.055,20.9145,3282.8,108391
225,8057.41,345.174,20.9292,3283.5,108419
226,8055.95,345.43,20.9304,3283.37,108436
227,8056.43,346.37,20.9448,3289.82,108588
228,8061.52,346.311,20.9325,3295.1,108628
229,8065.27,345.214,20.9475,3300.79,108615
230,8059.93,344.686,20.9525,3300.94,108561
231,8053.75,344.555,20.9572,3298.39,108514
232,8061.83,345.774,20.9598,3299.84,108658
233,8061.41,346.708,20.95,3301,108732
234,8060.53,347.328,20.9486,3304.33,108807
235,8072.51,347.595,20.9623,3309.53,108928
236,8076.11,348.214,20.9669,3302.37,108938
237,8078.56,349.349,20.9554,3304.32,109043
238,8079.17,349.953,20.9482,3304.97,109091
239,8078.3,349.743,20.9612,3302.69,109068
240,8076.47,349.069,20.9689,3298.36,108979
241,8077.24,349.38,20.978,3309.24,109109
242,8096.57,350.533,20.9764,3324.46,109394
243,8102.89,351.05,20.9607,3323.48,109430
244,8102.69,351.421,20.9788,3321.55,109467
245,8106.59,351.483,20.9715,3322.29,109482
246,8114.22,351.553,20.985,3326.66,109566
247,8120.18,351.714,20.9691,3328.47,109595
248,8121.08,351.582,20.985,3324.9,109576
249,8122.39,353.529,21.0057,3330.13,109812
250,8131.56,354.066,21.0166,3332.68,109922
251,8137.87,355.296,21.0198,3339.49,110106
